Postcode,Postcode Status,LSOA Code,LSOA Name,Index of Multiple Deprivation Rank,Index of Multiple Deprivation Decile,Income Rank,Income Decile,Income Score,Employment Rank,Employment Decile,Employment Score,Education and Skills Rank,Education and Skills Decile,Health and Disability Rank,Health and Disability Decile,Crime Rank,Crime Decile,Barriers to Housing & Services Rank,Barriers to Housing & Services Decile,Living Environment Rank,Living Environment Decile,IDACI Rank,IDACI Decile,IDACI Score,IDAOPI Rank,IDAOPI Decile,IDAOPI Score
HA0 1HU,Live,E01000476,Brent 026C E01000476,14647,5,16687,6,0.098,22147,7,0.058,9107,3,29600,10,10748,4,2784,1,9031,3,19694,6,0.098,8800,3,0.218
HA0 1HW,Live,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1HX,Live,E01000477,Brent 026D E01000477,11703,4,14969,5,0.11,21110,7,0.061,8255,3,28680,9,18394,6,119,1,9135,3,17582,6,0.115,8099,3,0.229
HA0 1HY,Live,E01000471,Brent 026A E01000471,13163,5,16697,6,0.097,18730,6,0.07,12182,4,22944,7,20490,7,342,1,12175,4,20763,7,0.09,7252,3,0.244
HA0 1HZ,Live,E01000471,Brent 026A E01000471,13163,5,16697,6,0.097,18730,6,0.07,12182,4,22944,7,20490,7,342,1,12175,4,20763,7,0.09,7252,3,0.244
HA0 1JA,Live,E01000471,Brent 026A E01000471,13163,5,16697,6,0.097,18730,6,0.07,12182,4,22944,7,20490,7,342,1,12175,4,20763,7,0.09,7252,3,0.244
HA0 1JB,Live,E01000471,Brent 026A E01000471,13163,5,16697,6,0.097,18730,6,0.07,12182,4,22944,7,20490,7,342,1,12175,4,20763,7,0.09,7252,3,0.244
HA0 1JD,Live,E01000478,Brent 029D E01000478,11562,4,12137,4,0.134,20258,7,0.064,12606,4,29362,9,10325,4,1049,1,4963,2,12946,4,0.162,7225,3,0.244
HA0 1JE,Live,E01000478,Brent 029D E01000478,11562,4,12137,4,0.134,20258,7,0.064,12606,4,29362,9,10325,4,1049,1,4963,2,12946,4,0.162,7225,3,0.244
HA0 1JF,Live,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1JG,Live,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1JH,Live,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1JJ,Live,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1JL,Terminated,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1JN,Terminated,E01000471,Brent 026A E01000471,13163,5,16697,6,0.097,18730,6,0.07,12182,4,22944,7,20490,7,342,1,12175,4,20763,7,0.09,7252,3,0.244
HA0 1JQ,Live,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1JR,Live,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1JS,Live,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1JT,Live,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1JU,Live,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1JW,Live,E01000477,Brent 026D E01000477,11703,4,14969,5,0.11,21110,7,0.061,8255,3,28680,9,18394,6,119,1,9135,3,17582,6,0.115,8099,3,0.229
HA0 1JX,Live,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1JY,Terminated,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1JZ,Terminated,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1LA,Terminated,E01000477,Brent 026D E01000477,11703,4,14969,5,0.11,21110,7,0.061,8255,3,28680,9,18394,6,119,1,9135,3,17582,6,0.115,8099,3,0.229
HA0 1LB,Live,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1LD,Terminated,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1LE,Terminated,E01000476,Brent 026C E01000476,14647,5,16687,6,0.098,22147,7,0.058,9107,3,29600,10,10748,4,2784,1,9031,3,19694,6,0.098,8800,3,0.218
HA0 1LF,Live,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1LG,Live,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1LH,Live,E01000478,Brent 029D E01000478,11562,4,12137,4,0.134,20258,7,0.064,12606,4,29362,9,10325,4,1049,1,4963,2,12946,4,0.162,7225,3,0.244
HA0 1LJ,Live,E01000471,Brent 026A E01000471,13163,5,16697,6,0.097,18730,6,0.07,12182,4,22944,7,20490,7,342,1,12175,4,20763,7,0.09,7252,3,0.244
HA0 1LL,Live,E01000471,Brent 026A E01000471,13163,5,16697,6,0.097,18730,6,0.07,12182,4,22944,7,20490,7,342,1,12175,4,20763,7,0.09,7252,3,0.244
HA0 1LN,Live,E01000471,Brent 026A E01000471,13163,5,16697,6,0.097,18730,6,0.07,12182,4,22944,7,20490,7,342,1,12175,4,20763,7,0.09,7252,3,0.244
HA0 1LP,Live,E01000471,Brent 026A E01000471,13163,5,16697,6,0.097,18730,6,0.07,12182,4,22944,7,20490,7,342,1,12175,4,20763,7,0.09,7252,3,0.244
HA0 1LQ,Terminated,E01000477,Brent 026D E01000477,11703,4,14969,5,0.11,21110,7,0.061,8255,3,28680,9,18394,6,119,1,9135,3,17582,6,0.115,8099,3,0.229
